first_name,gender,country,occurrences,rn
Md,F,AE,8384,1
Sara,F,AE,6785,2
Fatima,F,AE,5866,3
Maryam,F,AE,3856,4
Mariam,F,AE,3471,5
Aisha,F,AE,3356,6
Sarah,F,AE,2832,7
Noor,F,AE,2751,8
Reem,F,AE,2663,9
Sana,F,AE,2396,10
Mona,F,AE,2345,11
Asma,F,AE,2292,12
Um,F,AE,2252,13
Maria,F,AE,2239,14
Fatma,F,AE,2222,15
Amal,F,AE,2102,16
Eman,F,AE,2039,17
Salma,F,AE,2026,18
Maya,F,AE,1987,19
Rose,F,AE,1897,20
Muhammad,F,AE,1877,21
Amna,F,AE,1806,22
Princess,F,AE,1790,23
Bunda,F,AE,1777,24
Maha,F,AE,1756,25
Hanan,F,AE,1679,26
Hayat,F,AE,1673,27
Nadia,F,AE,1673,28
Ayesha,F,AE,1652,29
Hana,F,AE,1645,30
Amina,F,AE,1584,31
Mary,F,AE,1534,32
Ali,F,AE,1507,33
Alia,F,AE,1478,34
Laila,F,AE,1420,35
Rana,F,AE,1406,36
Aysha,F,AE,1369,37
Abdul,F,AE,1334,38
Nada,F,AE,1332,39
Zainab,F,AE,1284,40
Marwa,F,AE,1283,41
Angel,F,AE,1257,42
Anna,F,AE,1252,43
Lina,F,AE,1249,44
Lovely,F,AE,1243,45
Samira,F,AE,1243,46
Priya,F,AE,1243,47
Dana,F,AE,1232,48
Mohammed,F,AE,1195,49
Om,F,AE,1193,50
Zahra,F,AE,1181,51
Maitha,F,AE,1178,52
Muna,F,AE,1174,53
Saba,F,AE,1168,54
Mamah,F,AE,1160,55
Hala,F,AE,1156,56
Meera,F,AE,1147,57
Farah,F,AE,1129,58
Sonia,F,AE,1124,59
Rani,F,AE,1114,60
Fathima,F,AE,1112,61
Nisha,F,AE,1108,62
Huda,F,AE,1105,63
Shaikha,F,AE,1103,64
Grace,F,AE,1081,65
Mohammad,F,AE,1070,66
Noora,F,AE,1061,67
Meme,F,AE,1050,68
Nur,F,AE,1038,69
Helen,F,AE,1028,70
Mimi,F,AE,1021,71
Heba,F,AE,1015,72
Amira,F,AE,1012,73
Bunga,F,AE,997,74
Shamma,F,AE,996,75
Aya,F,AE,958,76
Hind,F,AE,952,77
Manal,F,AE,946,78
Asha,F,AE,943,79
Abeer,F,AE,939,80
Cinta,F,AE,938,81
Noura,F,AE,932,82
Anita,F,AE,930,83
Jenny,F,AE,929,84
Dina,F,AE,926,85
Michelle,F,AE,924,86
Malak,F,AE,911,87
Hamda,F,AE,906,88
Selam,F,AE,892,89
